,name,profile,ch,mass,quantile,sigma_v
525,Scl,Einasto,W,100,0.05,5.219475482688408e-23
526,Scl,Einasto,W,100,0.32,8.451700624085798e-23
527,Scl,Einasto,W,100,0.5,1.0502671334693493e-22
528,Scl,Einasto,W,100,0.68,1.3986609636752768e-22
529,Scl,Einasto,W,100,0.95,2.3968290093338443e-22
530,Scl,Einasto,W,200,0.05,7.44107756270739e-24
531,Scl,Einasto,W,200,0.32,1.294353914789325e-23
532,Scl,Einasto,W,200,0.5,1.6399209423780512e-23
533,Scl,Einasto,W,200,0.68,1.9875568810241604e-23
534,Scl,Einasto,W,200,0.95,3.686190718760041e-23
535,Scl,Einasto,W,500,0.05,4.111593668556888e-24
536,Scl,Einasto,W,500,0.32,7.061262552626698e-24
537,Scl,Einasto,W,500,0.5,8.911568546108317e-24
538,Scl,Einasto,W,500,0.68,1.1518175208404788e-23
539,Scl,Einasto,W,500,0.95,2.1131408426843953e-23
540,Scl,Einasto,W,1000,0.05,4.143865813809863e-24
541,Scl,Einasto,W,1000,0.32,6.71684770783092e-24
542,Scl,Einasto,W,1000,0.5,8.415634841888437e-24
543,Scl,Einasto,W,1000,0.68,1.0900390027611022e-23
544,Scl,Einasto,W,1000,0.95,2.024386736158314e-23
545,Scl,Einasto,W,5000,0.05,6.214351476214162e-24
546,Scl,Einasto,W,5000,0.32,1.033218275059296e-23
547,Scl,Einasto,W,5000,0.5,1.2691763922610681e-23
548,Scl,Einasto,W,5000,0.68,1.57487473674796e-23
549,Scl,Einasto,W,5000,0.95,2.9083803831779036e-23
550,Scl,Einasto,W,10000,0.05,8.64477179687266e-24
551,Scl,Einasto,W,10000,0.32,1.4078994458231028e-23
552,Scl,Einasto,W,10000,0.5,1.703739328806993e-23
553,Scl,Einasto,W,10000,0.68,2.0700678289493156e-23
554,Scl,Einasto,W,10000,0.95,4.0734358553905184e-23
555,Scl,Einasto,W,50000,0.05,3.0966830720599963e-23
556,Scl,Einasto,W,50000,0.32,5.0321038165851146e-23
557,Scl,Einasto,W,50000,0.5,6.291445989004992e-23
558,Scl,Einasto,W,50000,0.68,8.073753632567225e-23
559,Scl,Einasto,W,50000,0.95,1.5059668664546565e-22
560,Scl,Einasto,W,100000,0.05,5.690180719199985e-23
561,Scl,Einasto,W,100000,0.32,9.233530042647116e-23
562,Scl,Einasto,W,100000,0.5,1.1452943152135065e-22
563,Scl,Einasto,W,100000,0.68,1.45106126863881e-22
564,Scl,Einasto,W,100000,0.95,2.7744431033473033e-22
565,Scl,Einasto,b,70,0.05,1.6649424318065984e-22
566,Scl,Einasto,b,70,0.32,2.686858838509919e-22
567,Scl,Einasto,b,70,0.5,3.3491788312389192e-22
568,Scl,Einasto,b,70,0.68,4.491850642879009e-22
569,Scl,Einasto,b,70,0.95,7.862871474352281e-22
570,Scl,Einasto,b,100,0.05,5.676205898696728e-23
571,Scl,Einasto,b,100,0.32,9.590128283923923e-23
572,Scl,Einasto,b,100,0.5,1.193498434319342e-22
573,Scl,Einasto,b,100,0.68,1.57355380435571e-22
574,Scl,Einasto,b,100,0.95,2.705459297559077e-22
575,Scl,Einasto,b,200,0.05,1.4810455258220013e-23
576,Scl,Einasto,b,200,0.32,2.5252177878237943e-23
577,Scl,Einasto,b,200,0.5,3.099839761252144e-23
578,Scl,Einasto,b,200,0.68,3.916284038930593e-23
579,Scl,Einasto,b,200,0.95,6.76349145489821e-23
580,Scl,Einasto,b,500,0.05,6.018957176519898e-24
581,Scl,Einasto,b,500,0.32,1.0420155408868988e-23
582,Scl,Einasto,b,500,0.5,1.3050986207108613e-23
583,Scl,Einasto,b,500,0.68,1.6270714294796876e-23
584,Scl,Einasto,b,500,0.95,3.156901750420311e-23
585,Scl,Einasto,b,1000,0.05,5.174051313508659e-24
586,Scl,Einasto,b,1000,0.32,8.905560909508277e-24
587,Scl,Einasto,b,1000,0.5,1.1350922901920455e-23
588,Scl,Einasto,b,1000,0.68,1.4162752051073113e-23
589,Scl,Einasto,b,1000,0.95,2.6032156162781615e-23
590,Scl,Einasto,b,5000,0.05,8.191252975492362e-24
591,Scl,Einasto,b,5000,0.32,1.3083716419340402e-23
592,Scl,Einasto,b,5000,0.5,1.615747480069618e-23
593,Scl,Einasto,b,5000,0.68,2.2041305346260694e-23
594,Scl,Einasto,b,5000,0.95,3.982796035598659e-23
595,Scl,Einasto,b,10000,0.05,1.1073452045558478e-23
596,Scl,Einasto,b,10000,0.32,1.7498382967539517e-23
597,Scl,Einasto,b,10000,0.5,2.208348379533326e-23
598,Scl,Einasto,b,10000,0.68,2.7802931241876205e-23
599,Scl,Einasto,b,10000,0.95,5.38229407927152e-23
600,Scl,Einasto,b,50000,0.05,2.957118331441723e-23
601,Scl,Einasto,b,50000,0.32,4.608592286496263e-23
602,Scl,Einasto,b,50000,0.5,5.718936774659679e-23
603,Scl,Einasto,b,50000,0.68,7.04911771743934e-23
604,Scl,Einasto,b,50000,0.95,1.3903356960290783e-22
605,Scl,Einasto,b,100000,0.05,4.79530481941582e-23
606,Scl,Einasto,b,100000,0.32,7.932762186576865e-23
607,Scl,Einasto,b,100000,0.5,9.774113419171552e-23
608,Scl,Einasto,b,100000,0.68,1.2331175247332463e-22
609,Scl,Einasto,b,100000,0.95,2.3798911796506414e-22
610,Scl,Einasto,mu,70,0.05,9.513323324426608e-24
611,Scl,Einasto,mu,70,0.32,1.5798056351702172e-23
612,Scl,Einasto,mu,70,0.5,1.975725528195826e-23
613,Scl,Einasto,mu,70,0.68,2.500648274818911e-23
614,Scl,Einasto,mu,70,0.95,4.4143681277695207e-23
615,Scl,Einasto,mu,100,0.05,5.311552686593368e-24
616,Scl,Einasto,mu,100,0.32,9.549586509549628e-24
617,Scl,Einasto,mu,100,0.5,1.1624596147872869e-23
618,Scl,Einasto,mu,100,0.68,1.4041260905510295e-23
619,Scl,Einasto,mu,100,0.95,2.767086696951861e-23
620,Scl,Einasto,mu,200,0.05,4.875509299468802e-24
621,Scl,Einasto,mu,200,0.32,7.983010175816446e-24
622,Scl,Einasto,mu,200,0.5,9.923392101078682e-24
623,Scl,Einasto,mu,200,0.68,1.2651828852801418e-23
624,Scl,Einasto,mu,200,0.95,2.180489037015618e-23
625,Scl,Einasto,mu,500,0.05,5.445418764011371e-24
626,Scl,Einasto,mu,500,0.32,8.880803560208387e-24
627,Scl,Einasto,mu,500,0.5,1.0991380583403017e-23
628,Scl,Einasto,mu,500,0.68,1.4580203652975863e-23
629,Scl,Einasto,mu,500,0.95,2.787293996183957e-23
630,Scl,Einasto,mu,1000,0.05,6.522115771380792e-24
631,Scl,Einasto,mu,1000,0.32,1.0535606192979071e-23
632,Scl,Einasto,mu,1000,0.5,1.30205974634302e-23
633,Scl,Einasto,mu,1000,0.68,1.6307849110198624e-23
634,Scl,Einasto,mu,1000,0.95,3.2744127283687324e-23
635,Scl,Einasto,mu,5000,0.05,1.4608219335760757e-23
636,Scl,Einasto,mu,5000,0.32,2.3225460915485476e-23
637,Scl,Einasto,mu,5000,0.5,2.950048324735301e-23
638,Scl,Einasto,mu,5000,0.68,3.621086426616687e-23
639,Scl,Einasto,mu,5000,0.95,7.278348208420876e-23
640,Scl,Einasto,mu,10000,0.05,2.652040379238654e-23
641,Scl,Einasto,mu,10000,0.32,4.029781550554357e-23
642,Scl,Einasto,mu,10000,0.5,5.0147734626091904e-23
643,Scl,Einasto,mu,10000,0.68,6.12633121588678e-23
644,Scl,Einasto,mu,10000,0.95,1.2192538206483568e-22
645,Scl,Einasto,mu,50000,0.05,1.3936507926456917e-22
646,Scl,Einasto,mu,50000,0.32,2.3905082356737916e-22
647,Scl,Einasto,mu,50000,0.5,2.9171010862172218e-22
648,Scl,Einasto,mu,50000,0.68,3.7867615197269874e-22
649,Scl,Einasto,mu,50000,0.95,7.596878961405966e-22
650,Scl,Einasto,mu,100000,0.05,3.928140435878388e-22
651,Scl,Einasto,mu,100000,0.32,6.776631288439134e-22
652,Scl,Einasto,mu,100000,0.5,8.440081891719932e-22
653,Scl,Einasto,mu,100000,0.68,1.0335336995958216e-21
654,Scl,Einasto,mu,100000,0.95,2.0943138978588544e-21
655,Scl,Einasto,tau,70,0.05,5.105863073026373e-24
656,Scl,Einasto,tau,70,0.32,8.318036543217746e-24
657,Scl,Einasto,tau,70,0.5,1.0506265297139945e-23
658,Scl,Einasto,tau,70,0.68,1.3781668535965767e-23
659,Scl,Einasto,tau,70,0.95,2.4833702335113226e-23
660,Scl,Einasto,tau,100,0.05,2.1709978142086074e-24
661,Scl,Einasto,tau,100,0.32,3.6650128503977494e-24
662,Scl,Einasto,tau,100,0.5,4.570585904694776e-24
663,Scl,Einasto,tau,100,0.68,5.678120552032872e-24
664,Scl,Einasto,tau,100,0.95,1.0477328840094235e-23
665,Scl,Einasto,tau,200,0.05,1.1392840203320508e-24
666,Scl,Einasto,tau,200,0.32,2.0005397873495157e-24
667,Scl,Einasto,tau,200,0.5,2.4639623620115523e-24
668,Scl,Einasto,tau,200,0.68,3.0793237371726874e-24
669,Scl,Einasto,tau,200,0.95,5.921658396633099e-24
670,Scl,Einasto,tau,500,0.05,1.3145180095072659e-24
671,Scl,Einasto,tau,500,0.32,2.169130904072052e-24
672,Scl,Einasto,tau,500,0.5,2.7390579571959477e-24
673,Scl,Einasto,tau,500,0.68,3.652743318258427e-24
674,Scl,Einasto,tau,500,0.95,6.5355092088338694e-24
675,Scl,Einasto,tau,1000,0.05,1.5604227190380454e-24
676,Scl,Einasto,tau,1000,0.32,2.5677650658000127e-24
677,Scl,Einasto,tau,1000,0.5,3.2432060984875102e-24
678,Scl,Einasto,tau,1000,0.68,4.122711198497363e-24
679,Scl,Einasto,tau,1000,0.95,8.083507667524805e-24
680,Scl,Einasto,tau,5000,0.05,3.4660791658408164e-24
681,Scl,Einasto,tau,5000,0.32,5.577643741044628e-24
682,Scl,Einasto,tau,5000,0.5,6.914419037644826e-24
683,Scl,Einasto,tau,5000,0.68,8.638399011243355e-24
684,Scl,Einasto,tau,5000,0.95,1.7318871553001395e-23
685,Scl,Einasto,tau,10000,0.05,6.098732970065977e-24
686,Scl,Einasto,tau,10000,0.32,9.220173555768901e-24
687,Scl,Einasto,tau,10000,0.5,1.1470281382191664e-23
688,Scl,Einasto,tau,10000,0.68,1.4474923140027892e-23
689,Scl,Einasto,tau,10000,0.95,2.9027022503966816e-23
690,Scl,Einasto,tau,50000,0.05,2.775181833789762e-23
691,Scl,Einasto,tau,50000,0.32,4.486732377634666e-23
692,Scl,Einasto,tau,50000,0.5,5.636226539898226e-23
693,Scl,Einasto,tau,50000,0.68,7.021104063493348e-23
694,Scl,Einasto,tau,50000,0.95,1.461384210510545e-22
695,Scl,Einasto,tau,100000,0.05,7.156680319589858e-23
696,Scl,Einasto,tau,100000,0.32,1.1953544556801353e-22
697,Scl,Einasto,tau,100000,0.5,1.4708629695699145e-22
698,Scl,Einasto,tau,100000,0.68,1.8518215894544677e-22
699,Scl,Einasto,tau,100000,0.95,3.6327780766454125e-22
