,name,name2,name3,name4,name5,name6,name7,name8,profile,ch,mass,quantile,tau
0,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.05,3.950988606350656e+23
1,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.32,6.682475466670472e+23
2,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.5,8.672225391133515e+23
3,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.68,1.1968159083498054e+24
4,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.95,2.010464720360849e+24
5,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.05,1.2453271844146458e+24
6,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.32,2.1086010164727505e+24
7,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.5,2.687884693402451e+24
8,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.68,3.562097509783822e+24
9,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.95,5.810419841227382e+24
10,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.05,5.234147580608058e+24
11,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.32,1.079229246017635e+25
12,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.5,1.3526913091351598e+25
13,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.68,1.6731776641816715e+25
14,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.95,2.7102332673040682e+25
15,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.05,2.4420670136499724e+25
16,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.32,4.908116983095408e+25
17,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.5,6.146640930418938e+25
18,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.68,7.636753004040066e+25
19,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.95,1.2880107576381472e+26
20,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.05,5.829336401299034e+25
21,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.32,1.0930098293959945e+26
22,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.5,1.3594534326599696e+26
23,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.68,1.6425158113202207e+26
24,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.95,2.874230212723444e+26
25,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.05,1.2661649386960152e+26
26,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.32,3.6206980714432643e+26
27,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.5,4.046286725338399e+26
28,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.68,4.886500469616253e+26
29,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.95,8.184149404241804e+26
30,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.05,2.5646094798978964e+26
31,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.32,5.754585813099723e+26
32,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.5,6.989583489129938e+26
33,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.68,8.521360308120338e+26
34,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.95,1.3092796760839536e+27
35,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.05,6.205479569297302e+26
36,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.32,1.3135595550238162e+27
37,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.5,1.6115623815832822e+27
38,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.68,1.9780078743594347e+27
39,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.95,2.8724829068574275e+27
40,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.05,6.48425196232762e+26
41,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.32,1.4189887715905334e+27
42,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.5,1.757294586455544e+27
43,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.68,2.3243220030436732e+27
44,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.95,3.308192807320976e+27
